Client_ID,Name,Age,Annual_Income,Super_Balance,Investment_Assets,Cash_Savings,Debt,Risk_Profile,Retirement_Goal_Age,Has_Will,Insurance_Coverage,Last_Review_Date
C1000,Laura Rodriguez,63,215838,56631,1076531,421571,36668,Conservative,66,Yes,Needs Review,2024-11-22
C1001,Dillon Ramsey,53,123530,1141567,1882849,497484,285205,Balanced,55,Yes,Needs Review,2024-05-28
C1002,Tony Salazar,39,143557,1072590,80640,128016,341396,Conservative,56,No,Needs Review,2022-03-20
C1003,Sarah Hood,67,111087,1341813,206582,267979,564037,Balanced,68,No,Adequate,2024-08-04
C1004,Alexander Williams,32,118840,1086646,1802662,21159,130560,Growth,60,No,Adequate,2023-04-04
C1005,Stephanie Jordan,45,168451,1125534,410573,498562,366824,Balanced,57,Yes,Adequate,2023-07-24
C1006,Robert Odonnell,63,235456,1150650,1484271,179677,147979,Growth,69,No,Adequate,2024-01-08
C1007,Mary Robinson,43,101005,1244665,71476,384934,149849,Conservative,58,Yes,Needs Review,2023-05-31
C1008,Deanna Kramer,47,227648,217392,1365531,368760,748589,Balanced,55,No,None,2023-02-01
C1009,Gary Garcia,35,89353,178823,1225856,432304,51745,Conservative,62,No,Adequate,2022-02-08
C1010,Evan Liu,35,243075,1043904,685510,341896,370608,Growth,67,Yes,None,2024-06-05
C1011,Shelly Reyes,48,102733,1461578,1654044,318428,91865,Growth,61,No,Adequate,2024-03-07
C1012,Donald Smith,60,115318,518863,708646,320187,212890,Growth,61,Yes,Adequate,2022-06-06
C1013,Jeffrey Walters,64,204736,387654,647144,167619,23624,Conservative,57,Yes,None,2024-06-02
C1014,Michelle Jensen,48,117172,599036,1913458,360151,23321,Conservative,64,No,Needs Review,2024-08-31
C1015,Brooke Harris,27,143264,550089,424568,83844,403704,Conservative,64,Yes,Adequate,2024-11-11
C1016,Michelle Smith,46,76736,1218838,1244717,28532,174293,Conservative,57,Yes,Adequate,2024-04-28
C1017,Samantha Jones,26,162859,255362,908320,166421,783415,Growth,68,No,Adequate,2024-01-18
C1018,David Gordon,48,162181,817079,644736,123402,186717,Growth,56,Yes,None,2024-09-15
C1019,Brandon Rodriguez,68,181926,684076,1597261,119012,380975,Balanced,66,Yes,Needs Review,2022-01-21
C1020,David Hoffman,54,140084,239963,1236607,439661,183868,Balanced,55,Yes,None,2022-10-30
C1021,Cindy Huffman,62,219695,500761,1976808,399929,659792,Conservative,61,No,None,2024-05-18
C1022,Heather Little,26,57392,1317286,978021,57178,95257,Growth,61,Yes,Needs Review,2022-03-25
C1023,Danielle Frost,45,105680,240984,1177756,50407,588579,Growth,66,No,None,2023-07-24
C1024,Brittany Taylor,57,227789,284512,76234,464556,210176,Growth,56,No,Needs Review,2024-07-22
C1025,Heidi Mckinney,36,100859,621863,1622818,51990,190471,Balanced,61,Yes,Adequate,2024-10-05
C1026,Anthony Ford,46,175657,1337375,188352,469888,472930,Balanced,67,Yes,Needs Review,2024-03-03
C1027,Sara Lewis,68,207381,1306125,1138035,130473,743091,Growth,62,Yes,Adequate,2024-03-02
C1028,Regina Barton,49,244806,468982,419995,459761,518862,Growth,55,No,None,2023-05-07
C1029,James Smith,73,120467,1192622,205004,479007,475774,Growth,63,Yes,None,2022-07-27
C1030,Sophia Hall,51,233734,426619,476152,321285,635605,Balanced,61,Yes,Adequate,2024-12-19
C1031,Victor Williams,66,148506,1100673,1783832,418009,139789,Growth,57,Yes,None,2023-03-06
C1032,Hannah Medina,52,159751,1016161,1117739,319714,389593,Growth,62,Yes,Needs Review,2024-09-11
C1033,Claudia Rodriguez,40,168906,686326,1534429,227156,73686,Conservative,61,Yes,Adequate,2023-06-04
C1034,Jennifer Price,39,193760,669150,61934,169964,67661,Conservative,65,No,None,2023-08-14
C1035,James Hernandez,71,75342,1298805,1778831,2015,568535,Balanced,69,No,Adequate,2024-11-16
